time,OriginalLoad,LoadTSOM,LoadDSOM
7832,74942.80608919926,74120.17488864492,74725.904447388
7833,77331.76679334117,76668.32643730423,77245.96996033017
7834,77684.51463157743,77177.02445689726,78038.86201031253
7835,78678.59624057122,78162.55017383225,78495.9567798585
7836,79233.15805156472,78682.12746734453,79081.15001260902
7837,78556.77355731871,77843.26294525866,78217.05048533258
7838,78182.82786999998,77505.59588416507,77843.61500133513
7839,77586.71863828046,76776.62048261461,77209.8346116239
7840,77570.32343429676,76725.96235658621,77650.30659838664
7841,78427.88485043749,77507.4831733163,78358.53230789266
7842,81870.00472057004,80958.35359035782,81767.84377854606
7843,81411.82717717634,80555.8426562126,81254.6596839229
7844,79790.54438895272,78642.81026956346,79641.8065874893
7845,75846.43873,74959.92129917286,75973.29332192795
7846,71340.1416,72219.48611188392,71448.889699864
7847,67941.26884029366,68959.74238477871,68066.25573412818
7848,62911.221206200986,64110.54681221765,63091.06196088645
7849,58897.58270212659,59167.609481323176,59109.276623882666
7850,57118.86384135659,57479.92902875448,57191.886760948735
7851,56340.44432902134,56675.746351302005,56614.4467185773
7852,57008.34760504174,57278.374384238334,57199.31415000436
7853,58796.959828796964,59040.31289972391,58974.178116910785
7854,62503.07386252765,62874.502181902244,62581.215895635716
7855,71794.07824820591,72550.00939823128,71851.71529694527
7856,78791.93980879194,78010.64445828079,78609.26165606729
7857,80810.62986162127,79473.36989999766,80511.50439661785
7858,77922.22511298892,78828.45617123222,78269.49120646372
7859,82240.5576531133,82251.68261642949,82250.59160613731
7860,83254.70801396233,83511.80132159064,83325.03043459443
7861,82995.8011419832,83401.37171582392,82918.27469848994
7862,82565.60598690953,82806.09418251767,82585.26172459338
7863,82042.42054795756,82327.27756781716,81762.47451519832
7864,81467.22692146724,80824.93524874757,81236.38312756133
7865,83136.27795372745,81938.46507795487,82988.07803777918
7866,86165.72752632017,85522.10400590365,86003.35461261412
7867,85189.45153518944,84970.3392161619,84991.33581441254
7868,82569.84789368739,82017.56709543384,82368.30112765648
7869,77898.76403210123,77524.83560999259,77845.94273233961
7870,73025.02160210008,73600.25981251244,73091.09821250339
7871,69597.31832120803,69837.5506868606,69703.96579758862
7872,64390.33129512265,64609.9672125962,64540.82236180619
7873,60449.9000908998,62041.13806323367,60628.095368866816
7874,58077.33115345868,59715.40809682953,58156.07049807461
7875,56754.243772194815,58357.85202947793,57001.79701084351
7876,56876.06670937179,58214.1155520358,57026.95486770685
7877,58561.79483280898,59899.4788955117,58667.98044105123
7878,61625.16173437741,62814.372112072546,61759.2234850713
7879,71381.40942657691,71899.86201172933,71448.2757297045
7880,78691.31670083922,77369.81095028999,78549.44180512754
7881,80998.87526399549,80079.30662476848,80883.72486494746
7882,81434.43962430331,80643.87692866373,81360.46346936323
7883,82287.76021025912,81440.23307991185,82009.17436593713
7884,82530.55807,81780.44711444489,82428.5169350321
7885,81685.43270325827,80895.51451543762,81479.51750933524
7886,81279.82865592187,80368.132511013,81195.59303634464
7887,80151.77014772341,79321.14483264627,79811.44012033695
7888,79877.31658171755,79030.78077827087,80133.35775479661
7889,80865.46317221082,79993.44079164186,80839.08060136564
7890,83083.13973691686,82389.00617726283,83040.20230077946
7891,82248.47269550305,81431.30412014377,82110.66167590382
7892,80135.37826108301,79364.20151246313,79959.56155746226
7893,75637.27735,74318.6192112274,75697.22395357296
7894,71314.7031213147,72258.82803186879,71410.43256159687
7895,68170.21540829784,69025.75253112888,68375.9097424484
7896,62861.191374277616,64326.420325236766,63006.34714164141
7897,58601.6480355934,60473.71480639968,58803.478038493035
7898,56417.32521283465,58030.991890831254,56496.71224886134
7899,55183.55516853156,56816.07399872432,55430.279988670474
7900,55386.2156976827,56976.434310542565,55518.74516941948
7901,56936.5548301752,58574.56372844287,57098.00471203545
7902,60964.606742893826,62734.22932821271,61097.23279959796
7903,70555.50412277751,71439.03545428364,70649.33649037655
7904,78072.31120771077,76747.73781097309,77914.68160915059
7905,79964.93983978964,78931.04761331022,79858.89050180712
7906,79931.30394999999,78893.0764945496,79851.77349946319
7907,80391.17633,79480.05811184937,80137.94418890524
7908,80755.51325377756,79927.07859294723,80726.17867695836
7909,79960.13342043852,79005.40982106034,79552.14803989857
7910,79387.76788326543,78489.27092783048,79297.20406795453
7911,78616.97913861698,77782.11276869121,78332.69727129169
7912,78233.13967,77443.00317929494,78496.51429557931
7913,79561.59684131521,78754.15219763611,79555.99374722375
7914,82132.02068573597,81409.26816477266,82061.91125864048
7915,81107.97901329574,80348.38290958334,81008.02534443513
7916,79423.94596230422,78661.3533283979,79287.29276787632
7917,75141.22622598858,74082.11288298806,75112.7880293412
7918,71097.34537877876,70305.2330078331,71210.88280955923
7919,67488.74650986496,68635.85952280852,67643.53897619268
7920,62428.17078514366,63799.505054551664,62597.45137478321
7921,58510.0695,58640.005782837,58693.35404514619
