id,BAU,DSOM,TSOM
256,79893.79410191669,79520.47963464636,80091.94711335168
257,79868.51182494403,79512.656074357,80088.3739523737
258,79867.85769099907,79509.54262970944,80086.76394661599
259,79867.36709054036,79485.4597641606,80078.7724711479
260,79866.15694274216,79473.50155474077,80071.94989166888
261,79863.83476723758,79467.5836348794,80066.72976565183
262,79861.3490582467,79466.89563255182,80063.85491722025
263,79855.52726613657,79459.65850829588,80063.56021753125
264,79835.41264732914,79441.4930771916,80061.60506134498
265,79830.67017622817,79436.89812075894,80057.73355588308
266,79829.62356191625,79432.59348288139,80036.31702191533
267,79809.05104934728,79427.34362468163,80034.04263540306
268,79768.23309118186,79421.59243523353,80028.19129199474
269,79749.49215365884,79416.909812167,80025.62207056796
270,79745.76359017256,79408.82253821926,80023.09100134269
271,79743.01622760372,79395.68646866592,80014.01878702325
272,79736.70383503486,79382.92809499071,80010.4630961384
273,79730.68580274125,79376.96830265844,80003.39332676695
274,79726.36851870452,79375.7292095264,80003.31364814584
275,79725.45273118159,79369.18072100992,80000.06501735427
276,79723.81739631917,79368.83030051197,79997.9529684004
277,79715.28094833749,79365.18768011132,79996.80917338282
278,79687.90544274094,79363.31550451466,79993.2343331236
279,79683.62086540149,79360.86843122244,79992.61912580038
280,79659.22166925455,79355.63442455846,79981.61600797316
281,79657.09573393344,79349.10382349849,79978.3312886066
282,79655.36227897927,79342.14700228238,79965.37158442283
283,79652.64762310771,79341.99285178832,79964.79698112368
284,79649.24612659392,79331.97567519662,79946.40592799612
285,79648.49387255723,79331.53332321544,79946.14151777852
286,79633.38337842868,79329.32834406986,79945.21788082494
287,79623.27700897907,79319.25549129379,79942.34586875288
288,79622.72099512587,79307.52851243014,79939.40247488086
289,79610.42327696065,79305.47440745782,79936.92149799544
290,79602.99885668534,79298.72026724718,79936.84188434687
291,79597.24247796973,79294.757154625,79935.41299597273
292,79586.93986833663,79293.59045139157,79929.0704832269
293,79586.44926787789,79291.30650216994,79921.84195748762
294,79585.59889374947,79274.14159046076,79916.30043422185
295,79584.15979907055,79271.7343888859,79913.03813115918
296,79581.51055659344,79269.608114403,79912.69405055048
297,79576.86620558426,79259.60885969849,79911.10854967141
298,79574.90380374939,79254.90752380088,79909.83793375475
299,79570.97900007963,79253.25605967696,79908.39363637037
300,79567.4793834741,79246.86587850476,79888.7152388362
301,79564.92826108877,79241.17492870291,79886.06659273207
302,79553.70986393273,79240.21161259362,79885.3885260753
303,79553.28467686851,79237.20427393017,79870.60879887432
304,79548.77115264829,79235.32205051076,79867.87099721424
305,79541.15049218952,79230.15500932369,79865.55623793168
306,79536.0809541161,79229.70846214092,79861.2430327221
307,79529.21254769403,79224.15965163938,79853.22578726357
308,79524.04488952886,79213.95230542851,79840.730514448
309,79520.51256622605,79213.50230433693,79823.7048157921
310,79518.58287108847,79213.38373458255,79821.51065215417
311,79504.38816448285,79197.43784273768,79808.2973768319
312,79498.8934393452,79182.74116907279,79796.63718646603
313,79496.99645090481,79147.26401420425,79791.27623521989
314,79495.49194283142,79142.27434443786,79780.21605757256
315,79487.24985512493,79130.14613968157,79770.52166304538
316,79484.20813228087,79125.7747785281,79763.26518180633
317,79483.6848251249,79104.81403425055,79761.77049169196
318,79476.1622847579,79096.10902600373,79756.15506974899
319,79462.19652503302,79093.1439357602,79754.820004433
320,79461.11720402385,79087.78990854038,79754.61085280527
321,79459.25292228072,79083.76887826512,79753.79587822517
322,79450.06234035404,79081.71302021082,79751.25267842216
323,79448.13264521644,79076.9922979737,79746.69962737661
324,79437.0777815466,79074.06081417872,79743.6168482573
325,79423.60262228045,79059.21422397014,79740.93418343045
326,79422.58871466576,79052.3572232626,79736.05251897457
327,79419.02368466574,79047.79989323737,79697.84554620554
328,79418.07519044557,79035.52155667626,79697.25146647396
329,79404.99251154638,79029.488180624,79694.96481331874
330,79400.47898732619,79021.97737746236,79691.75119923253
331,79389.3587102619,79010.39518849975,79689.40552182854
332,79379.41587429852,79005.36931202326,79687.38330208542
333,79361.98320466536,79005.05527462884,79674.35349943976
334,79361.16553723418,79004.3882927139,79673.26604890975
335,79361.00200374794,79003.43584785238,79661.91677775321
336,79351.32082136256,79002.19925646011,79660.74251495938
337,79351.32082136255,79002.09751857554,79655.96274491963
338,79337.2896482432,79000.7748071167,79654.60462212934
339,79332.15469677527,78999.58138168178,79647.48170604296
340,79327.60846585779,78996.37098250841,79646.90400057318
341,79321.95020723394,78992.04918968499,79637.3634592849
342,79321.29607328896,78990.90407267255,79635.7529888788
343,79313.05398558246,78990.11219115237,79635.73840032752
344,79304.550244298,78980.81518538963,79631.76104366255
345,79303.37280319708,78973.15725939284,79627.9670706812
346,79303.30738980262,78971.40388239296,79625.52195772374
347,79298.59762539888,78963.44363425153,79625.2206868684
348,79294.05139448142,78958.08347938594,79620.86188825454
349,79290.58448457315,78957.17121924524,79613.36559745474
350,79289.89764393095,78953.00277135387,79606.4287067422
351,79278.71195347214,78948.5452205695,79603.24503573855
352,79275.73564402258,78934.00052330637,79599.28670224879
353,79275.60481723359,78927.27882982994,79596.83554785
354,79264.94243393077,78926.1532870734,79588.10109549826
355,79260.23266952707,78925.04743251672,79576.59195044362
356,79245.28570888478,78916.35082543486,79571.191247477
357,79233.838364848,78915.95240463538,79569.29137278536
358,79228.63799998557,78909.26661706889,79568.95167093253
359,79220.16696539837,78904.83141143214,79558.5961497448
360,79212.02299778363,78895.34027576324,79555.51929505379
361,79206.29932576524,78893.92595736809,79547.57431765352
362,79199.7252796184,78882.26997303154,79545.98247115237
363,79199.26738585695,78881.6818326344,79545.61691101329
364,79185.62869310456,78874.86897553428,79543.34625246588
365,79179.80690099439,78869.38569935456,79537.74814814587
366,79170.87797264571,78868.2800599005,79534.33029230812
367,79170.518198976,78867.96871476971,79533.64265862141
368,79170.48549227878,78867.7599417567,79533.36648060865
369,79168.62121053561,78860.87696133603,79531.86992760068
370,79166.69151539796,78856.92718770383,79519.22400077226
371,79165.38324750809,78851.29266701645,79518.44000444224
372,79162.99565860897,78849.68856237504,79497.63279372569
373,79156.78138613187,78848.16501854024,79494.59492247939
374,79150.73064714098,78846.6529970154,79492.58812231797
375,79149.38967255384,78837.09357223698,79490.56819387947
376,79147.32915062722,78835.17206953694,79477.74213191324
377,79146.87125686575,78831.23617774776,79441.33473870814
378,79129.76565420508,78821.62467165753,79433.9988506203
379,79125.44837016836,78815.9720076585,79432.40068567851
380,79123.45326163623,78811.93257297175,79431.59109589634
381,79117.9585364986,78806.36790809763,79423.386579634
382,79109.12772824166,78800.07538379982,79418.66656805226
383,79107.16532640676,78799.64332141625,79413.13424647441
384,79104.51608392969,78788.81694546167,79410.55287167359
385,79088.32626879198,78783.31722929637,79409.36782562836
386,79087.24694778277,78780.57851556623,79408.46091419668
387,79076.19208411298,78778.67924157418,79405.05823986843
388,79063.927072645,78777.41289382165,79403.3629519814
389,79058.33422741562,78768.31766840463,79402.50095789885
390,79056.79701264497,78756.70222385335,79401.67870145483
391,79054.34401035136,78756.13243022443,79395.46609850682
392,79053.59175631466,78753.24758023296,79389.2427595768
393,79049.14364548895,78752.5673591829,79385.39237137696
394,79038.18690191087,78750.53160078198,79377.09097717161
395,79030.23917447965,78749.34192454682,79375.66670434104
396,79027.36098512182,78739.65186953178,79360.52947540848
397,79020.16551172726,78738.20892046519,79358.82725357864
398,79015.48845402083,78737.73644235061,79357.35437985547
399,79013.26439860796,78735.67782021595,79354.08280475707
400,79008.75087438777,78735.36039880535,79347.95592395119
401,78994.9159414519,78731.59394154034,79347.1432785622
402,78987.06633411239,78723.4469731243,79335.49738952603
403,78980.91747502974,78718.93647768411,79334.88380625941
404,78975.94605704807,78711.87401748112,79333.89369404392
405,78974.5069623692,78711.40531329201,79322.59102239323
406,78969.89531805723,78711.06563108433,79321.65527027867
407,78968.42351668105,78710.06986226862,79317.75684650018
408,78966.7554751214,78689.92405552078,79308.56553896259
409,78959.00398787367,78687.43191045406,79300.61330761251
410,78956.38745209383,78684.7322727407,79298.86534846945
411,78955.99497172683,78684.38584277945,79298.27217532555
412,78949.19197869928,78682.14599874883,79286.22253200342
413,78930.05856080927,78680.49335566719,79282.85028272997
414,78924.62924906607,78677.08375859905,79280.16740919715
415,78922.17624677246,78672.08242100001,79279.80892480568
416,78911.6773969559,78669.46647178837,79278.09525647791
417,78911.25220989165,78668.5568715888,79269.51914699974
418,78908.30860713936,78668.31478461175,79268.45065160519
419,78904.87440392832,78666.83909501325,79247.46982346546
420,78902.15974805674,78660.56620301801,79237.45099378428
421,78901.14584044207,78657.38553915302,79233.32978112466
422,78890.81052411173,78651.21698424387,79226.79838118196
423,78873.21432099235,78650.30908697011,79226.76801298163
424,78869.06057044187,78647.4397527231,79223.59420089891
425,78865.59366053356,78644.15697006433,79193.2120186228
426,78852.70722181787,78636.21344628526,79184.84061067061
427,78842.829799249,78636.02929771424,79178.67741734331
428,78841.52153135909,78635.1896267448,79174.47044495931
429,78832.16741594618,78631.46180534583,79167.8831210837
430,78830.4666676893,78629.69507153626,79165.48806425814
431,78830.4666676893,78627.5535518912,79165.40882419396
432,78829.02757301039,78621.19316691009,79161.83106319154
433,78828.47155915719,78619.05061926438,79161.44288826811
434,78828.17719888194,78617.99061786845,79160.17753881436
435,78826.47645062505,78616.27213133319,79158.337030114
436,78803.32010897352,78614.07014269776,79152.73953241885
437,78802.17537456984,78605.65706602264,79148.87937363329
438,78797.40019677163,78605.4505320151,79144.15482934089
439,78795.14343466156,78596.97536998104,79143.86260652466
440,78788.73292200096,78596.3573532399,79140.72080449219
441,78772.57581356047,78587.94530801503,79139.15875741781
442,78770.71153181736,78585.02659461503,79138.43555691293
443,78767.24462190905,78583.17451867799,79119.56640434056
444,78762.99275126684,78580.52416125196,79113.12735281134
445,78756.87659888146,78578.38855398251,79101.03245154208
446,78748.53639108324,78573.56656426268,79090.9189431697
447,78745.42925484467,78570.43034675503,79081.81089983117
448,78740.94843732171,78570.25972685644,79077.70627310232
449,78740.29430337675,78564.44379266765,79069.22491929676
450,78734.27627108314,78561.02198615002,79054.03343173854
451,78733.7856706244,78559.84736598744,79052.53509402771
452,78727.30974456931,78557.79261087601,79044.89310715321
453,78722.99246053258,78556.72865885425,79031.34441431111
454,78721.6187792482,78551.32695474788,79030.82499876156
455,78720.37592475278,78550.23118801924,79029.04100541469
456,78718.90412337663,78550.0482900437,79027.53556320352
457,78718.67517649589,78535.59072011682,79023.34520988024
458,78715.2082665876,78534.47763201303,79022.5703842962
459,78714.12894557841,78533.93300621446,79019.16870310484
460,78712.26466383527,78532.70945015804,79008.53708573096
461,78693.22936603699,78532.64833685108,79008.2436686346
462,78691.56132447736,78530.94885840119,79005.04305566972
463,78682.14179566996,78530.58194948704,79000.15213062783
464,78675.82940310112,78524.00733514297,78986.93131183006
465,78675.66586961487,78522.82653334545,78983.2027269146
466,78673.96512135795,78522.60591696294,78981.48147771551
467,78664.57829924783,78515.46637295518,78976.88453108394
468,78660.52266878907,78498.4377921549,78957.58446566973
469,78657.18658566977,78492.50206002503,78950.95143731832
470,78653.94862264225,78490.5131826792,78943.78551382167
471,78650.71065961466,78487.83206069369,78937.06557080259
472,78646.22984209172,78482.901913435,78931.63294881002
473,78645.0524009908,78479.2759271082,78927.26513452257
474,78633.89941722927,78474.82886190097,78927.16422800776
475,78621.24192539431,78474.09349480363,78913.44637178014
476,78617.15358823832,78473.73986597286,78908.9577743491
477,78615.64908016492,78471.90869853453,78905.02011150577
478,78612.5746506236,78465.88976768743,78900.23300675045
479,78609.85999475201,78465.71527378565,78895.48527101227
480,78606.98180539423,78462.22781564138,78890.5259551456
481,78595.01115420146,78458.24194078564,78884.09261826356
482,78586.76906649498,78452.60239851967,78880.68897986069
483,78569.59805043982,78439.45730184161,78879.70642701561
484,78564.56121906366,78438.86010035664,78872.12222121409
485,78551.24959328375,78429.37673324274,78868.29232331709
486,78544.34848016444,78426.68296997627,78855.65530916957
487,78543.00750557726,78423.86720074218,78849.67912554725
488,78536.43345943042,78419.18696528545,78849.16501708742
489,78535.41955181574,78418.47507788037,78843.25547202407
490,78534.56917768731,78409.46385486188,78833.13776109696
491,78526.35979667808,78408.89005642335,78831.36519883215
492,78521.78085906336,78400.88820319231,78818.64766857302
493,78520.5052978707,78384.27991415461,78818.51580739045
494,78515.53387988899,78375.77673730854,78818.13307050917
495,78512.42674365045,78365.40914035034,78817.92336159677
496,78511.34742264128,78361.32487650472,78813.35210436817
497,78510.85682218253,78358.16573462923,78812.98434416455
498,78510.79140878805,78350.96265431556,78811.46642265325
499,78504.51172291646,78349.85199761695,78810.72751695017
500,78502.68014787057,78346.18527845449,78805.89316476003
501,78501.07751970542,78341.77924354038,78800.55104774305
502,78487.96213410901,78340.4503559117,78800.38746985667
503,78484.46251750347,78336.98232036483,78793.34104261495
504,78481.02831429243,78335.76231665832,78781.5471189894
505,78480.76666071445,78334.6337748535,78776.45576678678
506,78477.92117805389,78331.10759346849,78763.06965711192
507,78472.29562612725,78326.65933477411,78761.90257688497
508,78469.58097025566,78312.50687596702,78761.11140076572
509,78466.57195410885,78305.66171917715,78751.00424062347
510,78463.98812502624,78303.32289797919,78750.9482831112
511,78461.7640696134,78302.98994516121,78749.19262971677
512,78460.94640218224,78300.8779420736,78746.00544696582
513,78460.35768163175,78300.07302987929,78735.62408792975
514,78456.95618511798,78294.90434219372,78734.44477265542
515,78455.22273016383,78294.1798625071,78729.0495365279
516,78453.03138144822,78293.58200999978,78728.6331944829
517,78452.18100731977,78293.34120061302,78727.57679426976
518,78446.71898887934,78292.42718244116,78716.02979143718
519,78446.35921520964,78278.89073896951,78715.62521754594
520,78443.08854548485,78269.42082907408,78700.8410403357
521,78441.97651777841,78260.63758777177,78695.34398512455
522,78439.94870254905,78260.09234595491,78692.69630582206
523,78438.96750163162,78255.91358255518,78688.49607016628
524,78436.18743236555,78254.99285774538,78668.55087719625
525,78434.38856401689,78253.24681448242,78662.75948632337
526,78426.99685043887,78251.10340739106,78660.20371741541
527,78425.26339548474,78240.98061068091,78651.0386722235
528,78423.88971420031,78233.26253244621,78650.15563137807
529,78413.03109071398,78230.22300410189,78636.39805088345
530,78412.1480098883,78225.93320285708,78633.01961548413
531,78409.79312768648,78225.34810443861,78627.61025655505
532,78408.77922007177,78221.62537073414,78626.43667916168
533,78405.6066704387,78216.18934419006,78624.51764770782
534,78394.02849961295,78212.04730366464,78619.00320221353
535,78390.69241649366,78209.01241266022,78610.86437244828
536,78387.42174676886,78200.15644630103,78610.22943994142
537,78380.58604704404,78199.85123938858,78594.0378635043
