id;from;to;voltage;reactance;resistance;circuits;pmax;;Resistance per phase [ohm/km];Reactance per phase [ohm/km];Length [kM]
140;36;119;380;12.8113;1.12584;1;1700;1700;0.029;0.33;38.8222
141;37;39;380;14.8927;1.30876;1;1700;1700;0.029;0.33;45.1295
142;38;163;220;20.58072;3.85887;3;490;1275;0.025;0.133333;51.4518
143;21;39;220;39.0222;7.31664;3;490;1275;0.025;0.133333;97.5552
144;40;41;380;15.88406;1.395872;2;1700;3400;0.0145;0.165;48.1335
145;41;166;380;12.04722;1.058694;2;1700;3400;0.0145;0.165;36.5067
146;38;39;220;39.6204;7.42884;3;490;1275;0.025;0.133333;99.0513
147;24;294;220;17.45421;3.27267;3;490;1275;0.025;0.133333;43.6355
148;5;42;220;22.71159;6.65379;3;245;735;0.05;0.170667;44.3586
149;5;163;220;40.2507;7.54701;3;490;1275;0.025;0.133333;100.627
150;42;163;220;29.108;8.52773;1;245;245;0.15;0.512;56.8515
151;43;18;380;20.9177;1.83822;1;1700;1700;0.029;0.33;63.387
152;44;159;380;5.20687;0.457574;1;1700;1700;0.029;0.33;15.7784
153;45;44;380;12.3347;1.08396;1;1700;1700;0.029;0.33;37.3779
154;19;305;220;0.532184;0.0997845;1;490;490;0.075;0.4;1.33046
155;46;306;220;2.89746;0.543273;1;490;490;0.075;0.4;7.24364
156;46;230;220;14.2962;4.18834;1;245;245;0.15;0.512;27.9223
157;48;52;380;29.1751;2.56388;1;1700;1700;0.029;0.33;88.4095
158;49;103;220;1.92995;0.361865;1;490;490;0.075;0.4;4.82487
159;50;52;380;19.3377;1.69937;1;1700;1700;0.029;0.33;58.599
160;51;52;380;0.1346704;0.01183466;2;1700;3400;0.0145;0.165;0.408092
161;52;307;380;0.222592;0.0195611;1;1700;1700;0.029;0.33;0.67452
162;52;308;380;10.1661;0.893389;1;1700;1700;0.029;0.33;30.8065
163;53;52;380;22.8851;2.01111;1;1700;1700;0.029;0.33;69.3487
164;52;157;380;14.9383;1.31276;1;1700;1700;0.029;0.33;45.2677
165;52;309;220;0.431644;0.0809332;1;490;490;0.075;0.4;1.07911
166;23;310;380;10.45852;0.919082;2;1700;3400;0.0145;0.165;31.6925
167;54;135;380;23.5926;2.07329;1;1700;1700;0.029;0.33;71.4927
168;23;311;380;13.8586;1.21788;1;1700;1700;0.029;0.33;41.9958
