node;longitude;latitude;node_name;country
206;10,16029127;49,98919478;Umspannwerk Bergrheinfeld;DE
207;10,8431178;49,37869269;Umspannwerk Raitersaich;DE
208;9,090517549;49,97004137;Umspannwerk Aschaffenburg;DE
209;7,792567149;49,81054878;Niederhausen;DE
210;8,659372903;51,99961013;Umspannwerk Bechterdissen;DE
211;8,932218439;52,19331243;Veltheim;DE
212;8,959044132;52,27849498;Umspannwerk Meißen;DE
213;9,594301589;49,79844273;Umspannwerk Trennfeld;DE
214;8,954644121;50,08601573;Kraftwerkseinspeisung Staudinger;DE
215;10,23164155;48,52976228;Umspannwerk Niederstotzingen;DE
216;10,22245399;48,73675223;Umspannwerk Rotensohl;DE
217;10,40158686;48,50992974;Gundremmingen;DE
218;8,809623309;50,20347481;Umspannwerk Karben;DE
219;13,38232338;51,35599616;Umspannwerk Streumen;DE
220;9,097142209;48,82776184;Umspannwerk Weilimdorf;DE
221;8,628864933;51,99363407;Umspannwerk Bielefeld Ost;DE
222;10,0604081;54,34877082;Umspannwerk Kiel West;DE
223;9,202104201;53,89515741;Umspannwerk Kernkraftwerk Brunsbüttel;DE
224;9,215650143;48,85230532;Umspannwerk Mühlhausen;DE
225;10,40128139;48,51460841;Kernkraftwerk Gundremmingen;DE
226;8,673717289;49,29043939;Umspannwerk Wiesloch;DE
227;9,529605129;53,61899069;Stade;DE
228;9,491510793;53,65809828;Abbenfleth;DE
229;9,918148646;52,37999631;TenneT TSO GmbH - Betriebszentrum Lehrte;DE
230;9,72699197;54,29142099;Audorf;DE
231;9,091835297;49,29461887;Umspannwerk Hüffenhardt;DE
232;8,663783158;49,36008737;Umspannanlage Heidelberg-Süd;DE
233;9,567102012;51,32525733;Sandershausen;DE
234;8,349126123;49,01305212;Karlsruhe-West;DE
235;9,251034251;53,11443231;Sottrum;DE
236;8,474707049;53,42865119;Unterweser;DE
237;14,45988682;51,83327592;Kraftwerk Jänschwalde;DE
238;6,216192971;50,9123618;Siersdorf;DE
239;11,27772104;47,49587267;Umspannwerk Krün;DE
240;11,2939727;48,05204277;Umspannwerk Oberbrunn;DE
241;8,872942805;48,31009126;EnBW Umspannwerk Engstlatt;DE
242;8,4654298;48,04352362;Umspannwerk Villingen;DE
243;7,910729286;48,5012883;Umspannwerk Weier;DE
244;8,248729016;48,84631652;220-kV-Umspannwerk Kuppenheim;DE
245;9,449636527;53,9672865;Itzehoe/West;DE
246;9,344001772;53,85177746;Brokdorf;DE
247;11,47039412;50,93039023;Großschwabhausen;DE
248;7,254656882;53,02667163;Umspannwerk Rhede;DE
249;7,311362291;53,12576656;Diele;DE
