node,longitude,latitude,node_name,country,RDcost
159,"14,50810918","51,41371038",Umspannwerk Bärwalde,DE,243.85978283391768
160,"11,56150747","52,12389245",Magdeburg (50Hertz),DE,389.70200864834106
161,"11,6441811","51,90851287",Umspannwerk Förderstedt,DE,30157.57118709762
162,"10,36923005","52,16709243",Salzgitter-Hallendorf,DE,0.0
163,"13,90243469","51,87472352",Umspannwerk Ragow,DE,12312.475017808063
164,"8,403141436","52,60964401",Station Sankt Hülfe,DE,168.64199441076397
165,"9,514240091","51,25903558",Umspannwerk Bergshausen,DE,3578.049882260774
166,"9,25938382","51,06036685",Umspannwerk Borken,DE,224.04960655636046
167,"8,958708562","50,08260781",Umspannwerk Großkrotzenburg,DE,47.71208814671181
168,"9,177459676","49,03780985",Umrichterwerk Neckarwestheim,DE,0.0
169,"9,15135395","49,14338341",380-kV-Umspannwerk Großgartach,DE,0.0
170,"10,187834","49,98121904",Grafenrheinfeld,DE,172.712346741541
171,"10,11748669","48,89710534",Umspannwerk Goldshöfe,DE,266.9120747723718
172,"12,33742291","51,19696836",Pulgar,DE,13015.589712313009
173,"10,84086956","48,23803101",Umspannwerk Oberottmarshausen,DE,264434.08380617807
174,"10,86756588","48,53946909",Station Meitingen,DE,20517.24855404885
175,"9,704231499","48,46506373",EnBW Umspannwerk Laichingen,DE,26046.700549692163
176,"9,400631395","48,66694244",EnBW Umspannwerk Wendlingen,DE,54724.39074485864
177,"14,94649729","51,06258622",Umspannwerk Hagenwerder,DE,2270.6374431998483
178,"13,84126808","50,99017594",Umspannwerk DD-Süd,DE,30924.40326586726
179,"12,22083536","48,58573299",Umspannwerk Altheim,DE,29176.559352167777
180,"13,10343464","48,66679296",Umspannwerk Pleinting,DE,467433.2847197295
181,"11,1937278","50,16221444",Umspannwerk Redwitz,DE,81271.05151040266
182,"10,83601575","49,92806739",Umspannwerk Oberhaid,DE,16055.451272282027
183,"12,11476441","49,63115505",Umspannwerk Etzenricht,DE,77180.82512132998
184,"12,08225445","49,29744777",Schwandorf,DE,48220.23398730505
185,"12,46964401","51,37166295",Umspannwerk Taucha,DE,22069.6809916003
186,"12,24882391","51,19788243",Großdalzig,DE,40016.70595004298
187,"11,00491691","50,50741497",Pumpspeicherwerk Goldisthal,DE,283122.73155675293
188,"12,04498252","50,78125673",Umspannwerk Weida,DE,925.7739198272827
189,"13,24902837","52,53162389",Umspannwerk Reuter,DE,0.0
190,"13,36865846","52,50314221",Berlin/Mitte,DE,4.853125361368501e6
191,"11,79241384","48,83822402",Umspannwerk Sittling,DE,13298.520072820465
192,"11,80760564","48,4554268",Zolling - Irsching,DE,2.246084998966244e6
193,"11,86815629","48,20680292",Umspannwerk Ottenhofen,DE,20252.96822731505
194,"11,63931211","48,17878341",Föhring,DE,1.4262755958712855e6
195,"7,751862498","48,09640572",220-kV-Umspannwerk Eichstetten,DE,86115.66478978423
196,"6,211020315","49,95862575",SA Bauler,DE,1.7816912430052914e7
197,"6,773207838","49,29107421",Umspannanlage Ensdorf,DE,99920.7377714759
198,"13,242849","52,53495399",Heizkraftwerk Reuter West,DE,1.2780167664434668e7
199,"9,045434968","48,90296201",380kV-Umspannwerk Pulverdingen,DE,0.0
200,"8,438467512","49,25245973",Kernkraftwerk Philippsburg,DE,853.581872433479
201,"8,441315485","49,25140265",Philippsburg 380 kV,DE,0.0
202,"7,607116122","51,8986046",Amelsbüren,DE,1071.9449824421831
203,"9,562823374","48,70148982",EnBW Umspannwerk Bünzwangen,DE,95234.72753702209
204,"9,370845416","48,71912333",EnBW Umspannwerk Altbach 1,DE,8.233448962970149e6
205,"9,821583802","52,42485525",Lahe,DE,1.092273736149347e6
206,"10,16029127","49,98919478",Umspannwerk Bergrheinfeld,DE,9178.260173074108
207,"10,8431178","49,37869269",Umspannwerk Raitersaich,DE,56031.35369553618
208,"9,090517549","49,97004137",Umspannwerk Aschaffenburg,DE,1007.3653529268964
209,"7,792567149","49,81054878",Niederhausen,DE,1.4805409379706746e6
210,"8,659372903","51,99961013",Umspannwerk Bechterdissen,DE,6.157000521084445
211,"8,932218439","52,19331243",Veltheim,DE,39.100253447951935
212,"8,959044132","52,27849498",Umspannwerk Meißen,DE,24.59238701050967
213,"9,594301589","49,79844273",Umspannwerk Trennfeld,DE,176311.1508257518
214,"8,954644121","50,08601573",Kraftwerkseinspeisung Staudinger,DE,272546.46971418936
215,"10,23164155","48,52976228",Umspannwerk Niederstotzingen,DE,137284.39640077922
216,"10,22245399","48,73675223",Umspannwerk Rotensohl,DE,19430.50702264224
217,"10,40158686","48,50992974",Gundremmingen,DE,7570.238602888562
218,"8,809623309","50,20347481",Umspannwerk Karben,DE,667.1220144331337
219,"13,38232338","51,35599616",Umspannwerk Streumen,DE,2705.674495236385
220,"9,097142209","48,82776184",Umspannwerk Weilimdorf,DE,1560.3166166636324
221,"8,628864933","51,99363407",Umspannwerk Bielefeld Ost,DE,13.358171965254488
222,"10,0604081","54,34877082",Umspannwerk Kiel West,DE,600258.2974990989
223,"9,202104201","53,89515741",Umspannwerk Kernkraftwerk Brunsbüttel,DE,20.07732752907
224,"9,215650143","48,85230532",Umspannwerk Mühlhausen,DE,790806.4838854714
225,"10,40128139","48,51460841",Kernkraftwerk Gundremmingen,DE,3037.049465715852
226,"8,673717289","49,29043939",Umspannwerk Wiesloch,DE,1819.1182143768294
227,"9,529605129","53,61899069",Stade,DE,10567.466077723158
228,"9,491510793","53,65809828",Abbenfleth,DE,57337.85774496447
229,"9,918148646","52,37999631",TenneT TSO GmbH - Betriebszentrum Lehrte,DE,136473.54250149048
230,"9,72699197","54,29142099",Audorf,DE,103389.95630928728
231,"9,091835297","49,29461887",Umspannwerk Hüffenhardt,DE,1843.571733115838
232,"8,663783158","49,36008737",Umspannanlage Heidelberg-Süd,DE,6117.881289057097
233,"9,567102012","51,32525733",Sandershausen,DE,1572.275997293217
234,"8,349126123","49,01305212",Karlsruhe-West,DE,13216.85070827689
235,"9,251034251","53,11443231",Sottrum,DE,4815.412026905669
236,"8,474707049","53,42865119",Unterweser,DE,115.50467891984388
237,"14,45988682","51,83327592",Kraftwerk Jänschwalde,DE,1990.5632913209597
238,"6,216192971","50,9123618",Siersdorf,DE,1852.8459078649869
239,"11,27772104","47,49587267",Umspannwerk Krün,DE,29314.177067402044
240,"11,2939727","48,05204277",Umspannwerk Oberbrunn,DE,143213.22522356856
241,"8,872942805","48,31009126",EnBW Umspannwerk Engstlatt,DE,5445.271121583454
242,"8,4654298","48,04352362",Umspannwerk Villingen,DE,5400.929247842131
243,"7,910729286","48,5012883",Umspannwerk Weier,DE,44335.51237576452
244,"8,248729016","48,84631652",220-kV-Umspannwerk Kuppenheim,DE,8038.2196689938
245,"9,449636527","53,9672865",Itzehoe/West,DE,104.83937837671967
246,"9,344001772","53,85177746",Brokdorf,DE,149.00511763316234
247,"11,47039412","50,93039023",Großschwabhausen,DE,5179.4762461112405
248,"7,254656882","53,02667163",Umspannwerk Rhede,DE,4.191454812366907
249,"7,311362291","53,12576656",Diele,DE,311.1279675951761
250,"14,03369637","53,5078686",Pasewalk,DE,126.03095002236847
251,"13,39982884","53,79444778",Umspannwerk Windpark Iven,DE,40.90896744966982
252,"7,00877914","51,17425492",Station Ohligs,DE,4.975031213227813
253,"7,125572911","51,44897726",Station Eiberg,DE,0.0
254,"7,416707912","51,45705216",Station Kruckel,DE,0.0
255,"6,53175001","50,39005126",Station Dahlem,DE,1454.360964821708
256,"6,612402315","51,03592426",KW Neurath,DE,0.0
257,"6,808906247","51,26860759",Station Rath,DE,68.84649649834145
258,"6,622843235","51,25871337",,DE,4.021479502053479
259,"7,278947113","51,47228168",Station Laer,DE,0.0
260,"7,19597933","51,41157531",Station Welper,DE,498.5812780246628
261,"7,324279583","51,62138747",Rheinzink,DE,0.0
262,"6,330068589","51,24291615",Station Dülken,DE,18.843173306501843
263,"6,542408443","51,29944581",Station Edelstahl Krefeld,DE,13.996517765549806
264,"6,963305454","50,83376292",Station Bollenacker,DE,0.0
265,"7,095826719","50,82687168",Station Stockem,DE,267892.84827355127
266,"7,047384524","50,90552861",Station Gremberghoven,DE,70163.46531564885
267,"6,577290577","51,55639118",Station Ossenberg,DE,163.5797970770028
268,"7,99395912","51,82309543",Station Enniger,DE,15.526256347768165
269,"9,145176872","52,85324644",Wechold,DE,0.0
270,"8,318889254","52,06603746",Station Hesseln,DE,46.14886453700208
271,"7,930770086","51,67297102",Geithe,DE,3.5611540134241175
272,"7,981221596","51,67352626",Station Lippborg,DE,12.182270315507942
273,"9,923829837","51,89756176",Erzhausen,DE,23461.629950890314
274,"9,851393573","51,64913524",Hardegsen,DE,8462.783410202479
275,"10,23586311","52,29345954",Klein Ilsede,DE,156.04220420731107
276,"10,0876468","52,31513055",Mehrum (220 kV),DE,130.76850462803
277,"10,41954063","52,23696066",Gleidingen 220 kV,DE,0.0
278,"10,70273189","47,8264598",Umspannwerk Bidingen Nr. 697 S,DE,19934.28925265235
279,"10,19493344","47,97093688",Umspannwerk Memmingen,DE,86010.84106927188
280,"10,64128677","48,02745124",Umspannstation Irsingen,DE,33117.772597084666
281,"8,623209675","49,35658225",Umspannwerk Neurott,DE,3346.2354811312644
282,"9,228088745","51,81245337",Vörden,DE,375.8243793925926
283,"9,387651257","51,64073353",Umspannanlage Würgassen,DE,39.19912389386341
284,"8,735135734","50,15919154",Umspannwerk Frankfurt Nord,DE,1.34947339282764e7
285,"8,872259639","50,12972532",Dörnigheim 110 kV,DE,2.2793334057732765e6
286,"9,196982359","54,85109861",Umspannwerk Jardelund,DE,1183.8060627310904
287,"9,72460611","54,28827025",,DE,2878.9680311539264
288,"13,70966971","52,53979526",Neuenhagen,DE,35398.89190924161
289,"10,15750152","53,55513167",Umspannwerk Hamburg/Ost,DE,334555.57781343395
290,"10,38216666","52,99325404",Stadorf,DE,1771.8946490673093
