hour,fuel,RD
7697,100.0,794.2585558184647
7697,110.0,111.81994586095232
7697,130.0,68.12167273474445
7697,221.0,1919.113851475483
7697,50.0,0.0
7697,80.0,830.0
7697,90.0,0.0
7697,140.0,0.0
7697,150.0,0.0
7697,0.0,0.0
7697,30.0,0.0
7697,40.0,0.0
7697,120.0,0.0
7697,220.0,0.0
7697,SolarPV,0.0
7697,Wind,0.0
7697,LostLoad,375.10595223280416
7698,60.0,0.0
7698,70.0,2515.4073916214297
7698,100.0,1069.0416658359336
7698,110.0,112.24142011380931
7698,130.0,69.23761645984105
7698,221.0,2202.802955726476
7698,50.0,0.0
7698,80.0,830.0
7698,90.0,155.0456535874538
7698,140.0,0.0
7698,150.0,0.0
7698,0.0,0.0
7698,30.0,0.0
7698,40.0,0.0
7698,120.0,13.247520533256118
7698,220.0,0.0
7698,SolarPV,0.0
7698,Wind,0.0
7698,LostLoad,556.6744741097903
7699,60.0,0.0
7699,70.0,1613.7101561288714
7699,100.0,1074.36153547909
7699,110.0,112.32613501575634
7699,130.0,70.55258074466741
7699,221.0,2213.9424771202744
7699,50.0,0.0
7699,80.0,830.0
7699,90.0,59.20794618275771
7699,140.0,0.0
7699,150.0,0.0
7699,0.0,0.0
7699,30.0,0.0
7699,40.0,0.0
7699,120.0,50.6
7699,220.0,0.0
7699,SolarPV,0.0
7699,Wind,0.0
7699,LostLoad,615.1640606736369
7700,60.0,0.0
7700,70.0,2659.404359573601
7700,100.0,917.6746341839489
7700,110.0,111.09411685697626
7700,130.0,69.23761645984105
7700,221.0,2117.421839212737
7700,50.0,0.0
7700,80.0,860.0
7700,90.0,0.0
7700,140.0,0.0
7700,150.0,0.0
7700,0.0,0.0
7700,30.0,0.0
7700,40.0,0.0
7700,120.0,0.0
7700,220.0,0.0
7700,SolarPV,0.0
7700,Wind,0.0
7700,LostLoad,523.8747275301447
7701,60.0,0.0
7701,70.0,2561.067911091798
7701,100.0,706.2097059356823
7701,110.0,110.62233069364086
7701,130.0,67.03331599885625
7701,221.0,1915.5947933355042
7701,50.0,0.0
7701,80.0,860.0
7701,90.0,0.0
7701,140.0,0.0
7701,150.0,0.0
7701,0.0,0.0
7701,30.0,0.0
7701,40.0,0.0
7701,120.0,0.0
7701,220.0,0.0
7701,SolarPV,0.0
7701,Wind,0.0
7701,LostLoad,359.2879622990051
7702,60.0,0.0
7702,70.0,3704.898393322381
7702,100.0,623.0586970804184
7702,110.0,108.13015169120258
7702,130.0,52.65934686996503
7702,221.0,1766.3110892807877
7702,50.0,0.0
7702,80.0,801.5626891157488
7702,90.0,0.0
7702,140.0,0.0
7702,150.0,0.0
7702,0.0,0.0
7702,30.0,0.0
7702,40.0,0.0
7702,120.0,0.0
7702,220.0,0.0
7702,SolarPV,0.0
7702,Wind,0.0
7702,LostLoad,267.3956923844063
7703,60.0,0.0
7703,70.0,2644.336683596178
7703,100.0,575.8642287326446
7703,110.0,108.31885251419872
7703,130.0,52.65934686996503
7703,221.0,1712.3249117658622
7703,50.0,0.0
7703,80.0,716.2560049285194
7703,90.0,0.0
7703,140.0,0.0
7703,150.0,0.0
7703,0.0,0.0
7703,30.0,0.0
7703,40.0,0.0
7703,120.0,0.0
7703,220.0,0.0
7703,SolarPV,0.0
7703,Wind,0.0
7703,LostLoad,209.87885335000422
7704,60.0,0.0
7704,70.0,3433.7032260179967
7704,100.0,436.065993259307
7704,110.0,108.13015169120258
7704,130.0,52.65934686996503
7704,221.0,1577.0036362943442
7704,50.0,0.0
7704,80.0,586.3236303354515
7704,90.0,0.0
7704,140.0,0.0
7704,150.0,0.0
7704,0.0,0.0
7704,30.0,0.0
7704,40.0,0.0
7704,120.0,0.0
7704,220.0,0.0
7704,SolarPV,0.0
7704,Wind,0.0
7704,LostLoad,81.0991159201082
7705,60.0,566.2509251320348
7705,70.0,2720.58771326955
7705,100.0,319.86543704368046
7705,110.0,108.13015169120258
7705,130.0,52.65934686996503
7705,221.0,1394.6205442784558
7705,50.0,901.1617796544197
7705,80.0,443.4854285276035
7705,90.0,0.0
7705,140.0,0.0
7705,150.0,0.0
7705,0.0,0.0
7705,30.0,0.0
7705,40.0,0.0
7705,120.0,0.0
7705,220.0,0.0
7705,SolarPV,0.0
7705,Wind,0.0
7705,LostLoad,0.0
7706,60.0,505.0312123063218
7706,70.0,2349.9059084776422
7706,100.0,264.8039019610087
7706,110.0,108.13015169120258
7706,130.0,52.65934686996503
7706,221.0,1164.2587111846167
7706,50.0,235.71796871986936
7706,80.0,329.1123794632913
7706,90.0,0.0
7706,140.0,0.0
7706,150.0,0.0
7706,0.0,0.0
7706,30.0,0.0
7706,40.0,0.0
7706,120.0,0.0
7706,220.0,0.0
7706,SolarPV,0.0
7706,Wind,0.0
7706,LostLoad,0.0
7707,60.0,445.1575624713532
7707,70.0,1885.0857888669577
7707,100.0,264.8039019610087
7707,110.0,108.13015169120258
7707,130.0,52.65934686996503
7707,221.0,1021.3524680066113
7707,50.0,232.6682899462561
7707,80.0,254.12724040327146
7707,90.0,0.0
7707,140.0,0.0
7707,150.0,0.0
7707,0.0,0.0
7707,30.0,0.0
7707,40.0,300.0
7707,120.0,0.0
7707,220.0,0.0
7707,SolarPV,0.0
7707,Wind,0.0
7707,LostLoad,0.0
7708,60.0,397.1907714022782
7708,70.0,1811.5285395232113
7708,100.0,264.8039019610087
7708,110.0,108.13015169120258
7708,130.0,52.65934686996503
7708,221.0,960.4490789083598
7708,50.0,228.7888508212074
7708,80.0,220.090883623492
7708,90.0,0.0
7708,140.0,0.0
7708,150.0,0.0
7708,0.0,0.0
7708,30.0,0.0
7708,40.0,0.0
7708,120.0,0.0
7708,220.0,0.0
7708,SolarPV,0.0
7708,Wind,0.0
7708,LostLoad,0.0
7709,60.0,390.41757181799153
7709,70.0,1470.7052011194419
7709,100.0,263.8730411959712
7709,110.0,106.8825353698771
7709,130.0,45.46355617038526
7709,221.0,935.9564091111663
7709,50.0,229.181753289417
7709,80.0,204.76420430112836
7709,90.0,0.0
7709,140.0,0.0
7709,150.0,0.0
7709,0.0,0.0
7709,30.0,0.0
7709,40.0,0.0
7709,120.0,0.0
7709,220.0,0.0
7709,SolarPV,0.0
7709,Wind,0.0
7709,LostLoad,0.0
7710,60.0,307.0988100376235
7710,70.0,1152.8410446778275
7710,100.0,259.6736141786021
7710,110.0,106.8825353698771
7710,130.0,45.46355617038526
7710,221.0,919.668542698563
7710,50.0,866.3482822514993
7710,80.0,194.1902081504669
7710,90.0,0.0
7710,140.0,0.0
7710,150.0,0.0
7710,0.0,6.505090718172957e-5
7710,30.0,85.0
7710,40.0,300.0
7710,120.0,0.0
7710,220.0,0.0
7710,SolarPV,0.0
7710,Wind,0.0
7710,LostLoad,0.0
7711,60.0,378.95097959017374
7711,70.0,1772.7897705498344
7711,100.0,258.81870207159807
7711,110.0,106.8825353698771
7711,130.0,45.46355617038526
7711,221.0,922.9483465320527
7711,50.0,318.0131737631475
7711,80.0,196.6610312957688
7711,90.0,0.0
7711,140.0,0.0
7711,150.0,0.0
7711,0.0,0.0
7711,30.0,0.0
7711,40.0,0.0
7711,120.0,0.0
7711,220.0,0.0
7711,SolarPV,0.0
7711,Wind,0.0
7711,LostLoad,0.0
7712,60.0,443.40514029274885
7712,70.0,1996.3828970708787
7712,100.0,264.8039019610087
7712,110.0,108.13015169120258
7712,130.0,52.65934686996503
7712,221.0,1062.0794337730604
7712,50.0,222.4979284444929
7712,80.0,278.7075080329462
7712,90.0,0.0
7712,140.0,0.0
7712,150.0,0.0
7712,0.0,0.0
7712,30.0,0.0
7712,40.0,0.0
7712,120.0,0.0
7712,220.0,0.0
7712,SolarPV,0.0
7712,Wind,0.0
7712,LostLoad,0.0
7713,60.0,450.43438246721206
7713,70.0,1387.8720629873142
7713,100.0,264.8039019610087
7713,110.0,108.13015169120258
7713,130.0,52.65934686996503
7713,221.0,1310.4291561891773
7713,50.0,1572.2290432303785
7713,80.0,421.37104148091885
7713,90.0,0.0
7713,140.0,0.0
7713,150.0,0.0
7713,0.0,0.0
7713,30.0,85.0
7713,40.0,300.0
7713,120.0,0.0
7713,220.0,0.0
7713,SolarPV,0.0
7713,Wind,0.0
7713,LostLoad,0.0
7714,60.0,369.94219742651376
7714,70.0,1366.3480330803002
7714,100.0,291.7680097141729
7714,110.0,108.13015169120258
7714,130.0,52.65934686996503
7714,221.0,1438.8057623414575
7714,50.0,1484.3609595859455
7714,80.0,529.0974587146966
7714,90.0,0.0
7714,140.0,0.0
7714,150.0,0.0
7714,0.0,204.5
7714,30.0,85.0
7714,40.0,175.96520432212603
7714,120.0,0.0
7714,220.0,0.0
7714,SolarPV,0.0
7714,Wind,0.0
7714,LostLoad,23.344045313529183
7715,60.0,341.80021905205825
7715,70.0,1393.759847258736
7715,100.0,317.9322052440528
7715,110.0,108.13015169120258
7715,130.0,52.65934686996503
7715,221.0,1492.48006385681
7715,50.0,1557.9424377278929
7715,80.0,598.2389517052784
7715,90.0,0.0
7715,140.0,0.0
7715,150.0,0.0
7715,0.0,0.0
7715,30.0,85.0
7715,40.0,22.075721330845788
7715,120.0,0.0
7715,220.0,0.0
7715,SolarPV,0.0
7715,Wind,0.0
7715,LostLoad,96.6190456286864
7716,60.0,362.1382914013416
7716,70.0,1444.5357239226332
7716,100.0,348.40091705710836
7716,110.0,108.13015169120258
7716,130.0,52.65934686996503
7716,221.0,1543.5551680275307
7716,50.0,1488.6702891284376
7716,80.0,663.8637489663015
7716,90.0,0.0
7716,140.0,0.0
7716,150.0,0.0
7716,0.0,0.0
7716,30.0,85.0
7716,40.0,0.0
7716,120.0,0.0
7716,220.0,0.0
7716,SolarPV,0.0
7716,Wind,0.0
7716,LostLoad,165.9052499341851
7717,60.0,341.91163949196635
7717,70.0,1433.5862322532437
7717,100.0,331.5350045792274
7717,110.0,108.13015169120258
7717,130.0,52.65934686996503
7717,221.0,1512.2986237952264
7717,50.0,1350.7106996161297
7717,80.0,634.0322346519347
7717,90.0,0.0
7717,140.0,0.0
7717,150.0,0.0
7717,0.0,0.0
7717,30.0,85.0
7717,40.0,0.0
7717,120.0,0.0
7717,220.0,0.0
7717,SolarPV,0.0
7717,Wind,0.0
7717,LostLoad,135.3927945590374
7718,60.0,341.91163949196635
7718,70.0,1412.6421119781567
7718,100.0,307.04550845086857
7718,110.0,108.13015169120258
7718,130.0,52.65934686996503
7718,221.0,1465.0079338421374
7718,50.0,1397.908384445948
7718,80.0,572.4915798845504
7718,90.0,0.0
7718,140.0,0.0
7718,150.0,0.0
7718,0.0,45.5
7718,30.0,85.0
7718,40.0,0.0
7718,120.0,0.0
7718,220.0,0.0
7718,SolarPV,0.0
7718,Wind,0.0
7718,LostLoad,70.17373618190747
7719,60.0,359.50033543031304
7719,70.0,1374.6971520962456
7719,100.0,293.3063113193706
