hour,Total_RD_Cost
7993,1.0370998834393256e6
7994,823603.6010345679
7995,707769.350770493
7996,786873.6636515204
7997,768778.6691805138
7998,971766.5682400381
7999,1.5393480318319642e6
8000,2.0568736338958386e6
8001,2.243436858435595e6
8002,2.0447044294735484e6
8003,2.047479481150239e6
8004,2.0025294899977283e6
8005,1.934131711546281e6
8006,1.9037975786418465e6
8007,1.9619525596836458e6
8008,1.942113833675191e6
8009,2.0668292276254375e6
8010,2.4566266050136844e6
8011,2.511753807796971e6
8012,2.4776632894162303e6
8013,2.1584669323797887e6
8014,1.869942695498576e6
8015,1.7506444440091173e6
8016,1.3406655814514135e6
