hour,fuel,RD
7707,Oil(heavy),0.0
7707,WindOnshore,0.0
7707,WindOffshore,0.0
7707,SolarPV,0.0
7707,RoR,0.0
7707,Geothermal,0.0
7707,Hydro,244.581196750831
7707,LostLoad,0.7159657141357911
7708,NaturalGas,110.58500000000001
7708,Biomass,0.0
7708,HardCoal,2331.117261690113
7708,Lignite,3425.73
7708,Oil(light),0.0
7708,Waste,0.0
7708,OtherFuels,0.0
7708,Nuclear,0.0
7708,Oil(heavy),0.0
7708,WindOnshore,0.0
7708,WindOffshore,0.0
7708,SolarPV,0.0
7708,RoR,0.0
7708,Geothermal,0.0
7708,Hydro,59.95456726716741
7708,LostLoad,7.18690511837039
7709,NaturalGas,110.58500000000001
7709,Biomass,0.0
7709,HardCoal,2495.1564736025707
7709,Lignite,2502.5
7709,Oil(light),0.0
7709,Waste,0.0
7709,OtherFuels,0.0
7709,Nuclear,0.0
7709,Oil(heavy),0.0
7709,WindOnshore,0.0
7709,WindOffshore,0.0
7709,SolarPV,0.0
7709,RoR,0.0
7709,Geothermal,0.0
7709,Hydro,464.95790119782293
7709,LostLoad,21.955172223886876
7710,NaturalGas,110.58500000000001
7710,Biomass,0.0
7710,HardCoal,2960.040736949403
7710,Lignite,2046.6599999999999
7710,Oil(light),0.0
7710,Waste,0.0
7710,OtherFuels,0.0
7710,Nuclear,0.0
7710,Oil(heavy),0.0
7710,WindOnshore,0.0
7710,WindOffshore,0.0
7710,SolarPV,0.0
7710,RoR,0.0
7710,Geothermal,0.0
7710,Hydro,1060.8234591948162
7710,LostLoad,73.3690129559239
7711,NaturalGas,1078.3216346648828
7711,Biomass,0.0
7711,HardCoal,4228.026945244473
7711,Lignite,0.0
7711,Oil(light),0.0
7711,Waste,0.0
7711,OtherFuels,0.0
7711,Nuclear,0.0
7711,Oil(heavy),0.0
7711,WindOnshore,0.0
7711,WindOffshore,0.0
7711,SolarPV,0.0
7711,RoR,0.0
7711,Geothermal,0.0
7711,Hydro,11.200000000000003
7711,LostLoad,167.33025032887116
7712,NaturalGas,2348.424647267199
7712,Biomass,0.0
7712,HardCoal,2774.0026554647466
7712,Lignite,0.0
7712,Oil(light),0.0
7712,Waste,0.0
7712,OtherFuels,0.0
7712,Nuclear,0.0
7712,Oil(heavy),0.0
7712,WindOnshore,0.0
7712,WindOffshore,0.0
7712,SolarPV,0.0
7712,RoR,0.0
7712,Geothermal,0.0
7712,Hydro,0.0
7712,LostLoad,209.38482460465212
7713,NaturalGas,2252.7838642664847
7713,Biomass,0.0
7713,HardCoal,1823.841458179028
7713,Lignite,0.0
7713,Oil(light),0.0
7713,Waste,0.0
7713,OtherFuels,0.0
7713,Nuclear,0.0
7713,Oil(heavy),0.0
7713,WindOnshore,0.0
7713,WindOffshore,0.0
7713,SolarPV,0.0
7713,RoR,0.0
7713,Geothermal,0.0
7713,Hydro,98.8
7713,LostLoad,172.70877315542688
7714,NaturalGas,2048.2160225234165
7714,Biomass,0.0
7714,HardCoal,1356.2744671381122
7714,Lignite,0.0
7714,Oil(light),0.0
7714,Waste,0.0
7714,OtherFuels,0.0
7714,Nuclear,0.0
7714,Oil(heavy),0.0
7714,WindOnshore,0.0
7714,WindOffshore,0.0
7714,SolarPV,0.0
7714,RoR,0.0
7714,Geothermal,0.0
7714,Hydro,0.0
7714,LostLoad,135.1609302297958
7715,NaturalGas,1946.8811524490675
7715,Biomass,0.0
7715,HardCoal,1179.7065
7715,Lignite,0.0
7715,Oil(light),0.0
7715,Waste,0.0
7715,OtherFuels,0.0
7715,Nuclear,0.0
7715,Oil(heavy),0.0
7715,WindOnshore,0.0
7715,WindOffshore,0.0
7715,SolarPV,0.0
7715,RoR,0.0
7715,Geothermal,0.0
7715,Hydro,0.0
7715,LostLoad,141.075820268449
7716,NaturalGas,1480.7477419103566
7716,Biomass,0.0
7716,HardCoal,826.3529999999998
7716,Lignite,0.0
7716,Oil(light),0.0
7716,Waste,0.0
7716,OtherFuels,0.0
7716,Nuclear,0.0
7716,Oil(heavy),0.0
7716,WindOnshore,0.0
7716,WindOffshore,0.0
7716,SolarPV,0.0
7716,RoR,0.0
7716,Geothermal,0.0
7716,Hydro,0.0
7716,LostLoad,144.2741328591435
7717,NaturalGas,844.024088921233
7717,Biomass,0.0
7717,HardCoal,1130.0746092284826
7717,Lignite,0.0
7717,Oil(light),0.0
7717,Waste,0.0
7717,OtherFuels,0.0
7717,Nuclear,0.0
