hour,fuel,RD_up,RD_down,RD_net
7699,Oil(light),0.0,0.0,0.0
7699,Waste,0.0,0.0,0.0
7699,OtherFuels,0.0,0.0,0.0
7699,Nuclear,0.0,-50.45278124278241,-50.45278124278241
7699,Oil(heavy),0.0,-0.0,0.0
7699,WindOnshore,0.0,0.0,0.0
7699,WindOffshore,0.0,-0.0,0.0
7699,SolarPV,0.0,0.0,0.0
7699,RoR,0.0,0.0,0.0
7699,Geothermal,0.0,-0.0,0.0
7699,Hydro,0.0,0.0,0.0
7700,NaturalGas,1717.3432967197446,0.0,1717.3432967197446
7700,Biomass,0.0,0.0,0.0
7700,HardCoal,0.0,-1578.450197023998,-1578.450197023998
7700,Lignite,0.0,0.0,0.0
7700,Oil(light),0.0,0.0,0.0
7700,Waste,0.0,0.0,0.0
7700,OtherFuels,0.0,0.0,0.0
7700,Nuclear,0.0,-50.51336965948394,-50.51336965948394
7700,Oil(heavy),0.0,-0.0,0.0
7700,WindOnshore,0.0,0.0,0.0
7700,WindOffshore,0.0,-0.0,0.0
7700,SolarPV,0.0,0.0,0.0
7700,RoR,0.0,0.0,0.0
7700,Geothermal,0.0,-0.0,0.0
7700,Hydro,0.0,0.0,0.0
7701,NaturalGas,1934.4670947277214,0.0,1934.4670947277214
7701,Biomass,0.0,0.0,0.0
7701,HardCoal,809.8355578822636,-1747.5352645930793,-937.6997067108157
7701,Lignite,0.0,0.0,0.0
7701,Oil(light),0.0,0.0,0.0
7701,Waste,0.0,0.0,0.0
7701,OtherFuels,0.0,0.0,0.0
7701,Nuclear,0.0,-60.45262065866552,-60.45262065866552
7701,Oil(heavy),0.0,-0.0,0.0
7701,WindOnshore,0.0,0.0,0.0
7701,WindOffshore,0.0,-0.0,0.0
7701,SolarPV,0.0,0.0,0.0
7701,RoR,0.0,0.0,0.0
7701,Geothermal,0.0,-0.0,0.0
7701,Hydro,90.0,0.0,90.0
7702,NaturalGas,317.36316807932815,0.0,317.36316807932815
7702,Biomass,0.0,-81.149175,-81.149175
7702,HardCoal,2328.963246755779,-1187.28,1141.683246755779
7702,Lignite,0.0,0.0,0.0
7702,Oil(light),0.0,0.0,0.0
7702,Waste,0.0,0.0,0.0
7702,OtherFuels,0.0,0.0,0.0
7702,Nuclear,0.0,-71.33659932009095,-71.33659932009095
7702,Oil(heavy),0.0,-0.0,0.0
7702,WindOnshore,0.0,-276.17659375183104,-276.17659375183104
7702,WindOffshore,0.0,-10.937560866665308,-10.937560866665308
7702,SolarPV,0.0,0.0,0.0
7702,RoR,0.0,0.0,0.0
7702,Geothermal,0.0,-0.0,0.0
7702,Hydro,0.0,0.0,0.0
7703,NaturalGas,404.9148911261033,0.0,404.9148911261033
7703,Biomass,0.0,-138.4341171212917,-138.4341171212917
7703,HardCoal,3381.6685075806363,-1441.7080661042119,1939.9604414764244
7703,Lignite,0.0,0.0,0.0
7703,Oil(light),0.0,0.0,0.0
7703,Waste,0.0,0.0,0.0
7703,OtherFuels,0.0,0.0,0.0
7703,Nuclear,0.0,-20.125675460633374,-20.125675460633374
7703,Oil(heavy),0.0,-0.0,0.0
7703,WindOnshore,0.0,-725.3633848235604,-725.3633848235604
7703,WindOffshore,0.0,-147.4479148441814,-147.4479148441814
7703,SolarPV,0.0,0.0,0.0
7703,RoR,0.0,0.0,0.0
7703,Geothermal,0.0,-0.0,0.0
7703,Hydro,118.0,0.0,118.0
7704,NaturalGas,339.42519990125805,0.0,339.42519990125805
7704,Biomass,0.0,-233.761167,-233.761167
7704,HardCoal,796.7304828629891,0.0,796.7304828629891
7704,Lignite,3387.312610976165,-1229.56723197652,2157.7453789996453
7704,Oil(light),0.0,0.0,0.0
7704,Waste,0.0,0.0,0.0
7704,OtherFuels,0.0,0.0,0.0
7704,Nuclear,0.0,-46.98807464477284,-46.98807464477284
7704,Oil(heavy),0.0,-0.0,0.0
7704,WindOnshore,0.0,-1068.918086751461,-1068.918086751461
7704,WindOffshore,0.0,-213.30420740597253,-213.30420740597253
7704,SolarPV,0.0,0.0,0.0
7704,RoR,0.0,-4.792118725,-4.792118725
7704,Geothermal,0.0,-0.0,0.0
7704,Hydro,0.0,0.0,0.0
7705,NaturalGas,110.58500000000001,0.0,110.58500000000001
7705,Biomass,0.0,-281.1255949031051,-281.1255949031051
7705,HardCoal,2930.690797736333,0.0,2930.690797736333
7705,Lignite,3169.801453406212,-3479.148725934835,-309.34727252862285
7705,Oil(light),0.0,0.0,0.0
7705,Waste,0.0,0.0,0.0
7705,OtherFuels,0.0,0.0,0.0
7705,Nuclear,0.0,-57.3989964519086,-57.3989964519086
7705,Oil(heavy),0.0,-0.0,0.0
7705,WindOnshore,0.0,-1669.4485828290117,-1669.4485828290117
7705,WindOffshore,0.0,-215.3941062149025,-215.3941062149025
7705,SolarPV,0.0,0.0,0.0
7705,RoR,0.0,-4.89622431464,-4.89622431464
7705,Geothermal,0.0,-0.0,0.0
7705,Hydro,550.7341913756729,0.0,550.7341913756729
7706,NaturalGas,110.58500000000001,0.0,110.58500000000001
7706,Biomass,0.0,-311.60053580860773,-311.60053580860773
7706,HardCoal,3172.091166103264,0.0,3172.091166103264
7706,Lignite,3416.5453861591213,-3362.476642735366,54.06874342375522
7706,Oil(light),0.0,0.0,0.0
7706,Waste,0.0,0.0,0.0
7706,OtherFuels,0.0,0.0,0.0
7706,Nuclear,0.0,-59.37670380109239,-59.37670380109239
7706,Oil(heavy),0.0,-0.0,0.0
7706,WindOnshore,0.0,-1878.8230957190194,-1878.8230957190194
7706,WindOffshore,0.0,-149.92567348734332,-149.92567348734332
7706,SolarPV,0.0,0.0,0.0
7706,RoR,0.0,-0.10410558964000001,-0.10410558964000001
7706,Geothermal,0.0,-0.0,0.0
7706,Hydro,163.85979304062218,0.0,163.85979304062218
7707,NaturalGas,110.58500000000001,0.0,110.58500000000001
7707,Biomass,0.0,-302.14902920505483,-302.14902920505483
7707,HardCoal,2067.282965739443,0.0,2067.282965739443
7707,Lignite,3909.5209999999997,-3160.0209187791256,749.5000812208741
7707,Oil(light),0.0,0.0,0.0
7707,Waste,0.0,0.0,0.0
7707,OtherFuels,0.0,0.0,0.0
7707,Nuclear,0.0,-73.95543905552415,-73.95543905552415
7707,Oil(heavy),0.0,-0.0,0.0
7707,WindOnshore,0.0,-1670.5804778845409,-1670.5804778845409
7707,WindOffshore,0.0,-489.74681797014273,-489.74681797014273
7707,SolarPV,0.0,0.0,0.0
7707,RoR,0.0,-0.028388286080000002,-0.028388286080000002
7707,Geothermal,0.0,-0.0,0.0
7707,Hydro,1057.9718858438996,0.0,1057.9718858438996
7708,NaturalGas,110.58500000000001,0.0,110.58500000000001
7708,Biomass,0.0,-311.5557,-311.5557
7708,HardCoal,3212.191633201649,0.0,3212.191633201649
7708,Lignite,3425.73,-3289.307694031668,136.42230596833224
7708,Oil(light),0.0,0.0,0.0
7708,Waste,0.0,0.0,0.0
7708,OtherFuels,0.0,0.0,0.0
7708,Nuclear,0.0,-67.37285098540724,-67.37285098540724
7708,Oil(heavy),0.0,-0.0,0.0
7708,WindOnshore,0.0,-1598.907008233642,-1598.907008233642
7708,WindOffshore,0.0,-383.71952094847717,-383.71952094847717
7708,SolarPV,0.0,0.0,0.0
7708,RoR,0.0,-0.10410558964000001,-0.10410558964000001
7708,Geothermal,0.0,-0.0,0.0
7708,Hydro,33.776787217524586,0.0,33.776787217524586
7709,NaturalGas,110.58500000000001,0.0,110.58500000000001
7709,Biomass,0.0,-297.5267092434391,-297.5267092434391
7709,HardCoal,3108.455526153133,0.0,3108.455526153133
7709,Lignite,2502.5,-3044.05991921011,-541.5599192101099
7709,Oil(light),0.0,0.0,0.0
7709,Waste,0.0,0.0,0.0
7709,OtherFuels,0.0,0.0,0.0
7709,Nuclear,0.0,-45.58186757675742,-45.58186757675742
7709,Oil(heavy),0.0,-0.0,0.0
7709,WindOnshore,0.0,-1795.8739233120145,-1795.8739233120145
7709,WindOffshore,0.0,-151.242679994406,-151.242679994406
7709,SolarPV,0.0,0.0,0.0
7709,RoR,0.0,-0.10410558964000001,-0.10410558964000001
7709,Geothermal,0.0,-0.0,0.0
7709,Hydro,638.7134215787531,0.0,638.7134215787531
7710,NaturalGas,110.58500000000001,0.0,110.58500000000001
7710,Biomass,0.0,-287.44413299999997,-287.44413299999997
7710,HardCoal,2603.495591315298,0.0,2603.495591315298
7710,Lignite,2046.6599999999999,-3286.717089172764,-1240.0570891727643
7710,Oil(light),0.0,0.0,0.0
7710,Waste,0.0,0.0,0.0
7710,OtherFuels,0.0,0.0,0.0
7710,Nuclear,0.0,-24.069046444836317,-24.069046444836317
7710,Oil(heavy),0.0,-0.0,0.0
7710,WindOnshore,0.0,-1546.789929870075,-1546.789929870075
7710,WindOffshore,0.0,-467.41808274840287,-467.41808274840287
7710,SolarPV,0.0,0.0,0.0
7710,RoR,0.0,-4.82050701108,-4.82050701108
7710,Geothermal,0.0,-0.0,0.0
7710,Hydro,1739.2925940049518,0.0,1739.2925940049518
7711,NaturalGas,427.1195102382221,0.0,427.1195102382221
7711,Biomass,0.0,-219.190023,-219.190023
7711,HardCoal,4261.062945349619,-2005.065,2255.9979453496194
7711,Lignite,0.0,-1246.2340273353898,-1246.2340273353898
7711,Oil(light),0.0,0.0,0.0
7711,Waste,0.0,0.0,0.0
7711,OtherFuels,0.0,0.0,0.0
7711,Nuclear,0.0,-17.467123161168274,-17.467123161168274
7711,Oil(heavy),0.0,-0.0,0.0
7711,WindOnshore,0.0,-1401.95522154222,-1401.95522154222
7711,WindOffshore,0.0,-148.72477796500849,-148.72477796500849
7711,SolarPV,0.0,0.0,0.0
7711,RoR,0.0,-4.792118725,-4.792118725
7711,Geothermal,0.0,-0.0,0.0
7711,Hydro,0.0,0.0,0.0
7712,NaturalGas,1679.715109315025,0.0,1679.715109315025
7712,Biomass,0.0,-173.729718,-173.729718
7712,HardCoal,2161.4867927295963,-2933.8766215220858,-772.3898287924894
7712,Lignite,0.0,-398.68501622644555,-398.68501622644555
7712,Oil(light),0.0,0.0,0.0
7712,Waste,0.0,0.0,0.0
7712,OtherFuels,0.0,0.0,0.0
7712,Nuclear,0.0,-79.96625020187764,-79.96625020187764
7712,Oil(heavy),0.0,-0.0,0.0
7712,WindOnshore,0.0,-1274.8247019968353,-1274.8247019968353
7712,WindOffshore,0.0,-0.0,0.0
7712,SolarPV,0.0,-0.24893421754133582,-0.24893421754133582
7712,RoR,0.0,-4.792118725,-4.792118725
7712,Geothermal,0.0,-0.0,0.0
7712,Hydro,0.0,0.0,0.0
7713,NaturalGas,918.0359542522307,0.0,918.0359542522307
7713,Biomass,0.0,-173.729718,-173.729718
7713,HardCoal,649.1025,-2257.137976310108,-1608.0354763101082
7713,Lignite,0.0,0.0,0.0
7713,Oil(light),0.0,0.0,0.0
7713,Waste,0.0,0.0,0.0
7713,OtherFuels,0.0,0.0,0.0
7713,Nuclear,0.0,-78.56623392940776,-78.56623392940776
7713,Oil(heavy),0.0,-0.0,0.0
7713,WindOnshore,0.0,-829.7526422440702,-829.7526422440702
7713,WindOffshore,0.0,-0.0,0.0
7713,SolarPV,0.0,0.0,0.0
7713,RoR,0.0,0.0,0.0
7713,Geothermal,0.0,-0.0,0.0
7713,Hydro,0.0,0.0,0.0
7714,NaturalGas,724.9486649004239,0.0,724.9486649004239
7714,Biomass,0.0,-198.05333440533423,-198.05333440533423
7714,HardCoal,649.1025,-1649.6883291492481,-1000.5858291492482
7714,Lignite,0.0,0.0,0.0
7714,Oil(light),0.0,0.0,0.0
7714,Waste,0.0,0.0,0.0
7714,OtherFuels,0.0,0.0,0.0
7714,Nuclear,0.0,-71.7784376288364,-71.7784376288364
7714,Oil(heavy),0.0,-0.0,0.0
7714,WindOnshore,0.0,-705.5756432168905,-705.5756432168905
7714,WindOffshore,0.0,-0.0,0.0
7714,SolarPV,0.0,0.0,0.0
7714,RoR,0.0,0.0,0.0
7714,Geothermal,0.0,-0.0,0.0
7714,Hydro,0.0,0.0,0.0
7715,NaturalGas,740.4167266743223,0.0,740.4167266743223
7715,Biomass,0.0,-216.27691199999998,-216.27691199999998
7715,HardCoal,638.8515,-1345.1813888168547,-706.3298888168547
7715,Lignite,0.0,0.0,0.0
7715,Oil(light),0.0,0.0,0.0
7715,Waste,0.0,0.0,0.0
7715,OtherFuels,0.0,0.0,0.0
7715,Nuclear,0.0,-73.4960863646279,-73.4960863646279
7715,Oil(heavy),0.0,-0.0,0.0
7715,WindOnshore,0.0,-823.7306268765816,-823.7306268765816
7715,WindOffshore,0.0,-0.0,0.0
7715,SolarPV,0.0,-2.9661860938698936,-2.9661860938698936
7715,RoR,0.0,0.0,0.0
7715,Geothermal,0.0,-0.0,0.0
7715,Hydro,0.0,0.0,0.0
7716,NaturalGas,783.3460379028629,0.0,783.3460379028629
7716,Biomass,0.0,-210.93987306135705,-210.93987306135705
7716,HardCoal,638.8515,-1272.149936306348,-633.2984363063481
7716,Lignite,0.0,0.0,0.0
7716,Oil(light),0.0,0.0,0.0
7716,Waste,0.0,0.0,0.0
7716,OtherFuels,0.0,0.0,0.0
7716,Nuclear,0.0,-111.2911699755017,-111.2911699755017
7716,Oil(heavy),0.0,-0.0,0.0
7716,WindOnshore,0.0,-974.964230953529,-974.964230953529
7716,WindOffshore,0.0,-0.0,0.0
7716,SolarPV,0.0,-24.720906658712916,-24.720906658712916
7716,RoR,0.0,0.0,0.0
7716,Geothermal,0.0,-0.0,0.0
7716,Hydro,0.0,0.0,0.0
7717,NaturalGas,761.3889648143015,0.0,761.3889648143015
7717,Biomass,0.0,-216.27691199999998,-216.27691199999998
7717,HardCoal,1370.2993463622975,-1436.163663769135,-65.86431740683747
7717,Lignite,0.0,0.0,0.0
7717,Oil(light),0.0,0.0,0.0
7717,Waste,0.0,0.0,0.0
7717,OtherFuels,0.0,0.0,0.0
7717,Nuclear,0.0,-128.77579953283202,-128.77579953283202
7717,Oil(heavy),0.0,-0.0,0.0
7717,WindOnshore,0.0,-995.2982437709966,-995.2982437709966
7717,WindOffshore,0.0,-0.0,0.0
7717,SolarPV,0.0,-51.533187525336764,-51.533187525336764
7717,RoR,0.0,-4.792118725,-4.792118725
7717,Geothermal,0.0,-0.0,0.0
7717,Hydro,0.0,0.0,0.0
7718,NaturalGas,781.243421248078,0.0,781.243421248078
7718,Biomass,0.0,-173.729718,-173.729718
7718,HardCoal,823.790653627035,-1657.4569517717691,-833.6662981447341
7718,Lignite,0.0,0.0,0.0
7718,Oil(light),0.0,0.0,0.0
7718,Waste,0.0,0.0,0.0
7718,OtherFuels,0.0,0.0,0.0
7718,Nuclear,0.0,-113.47292376234464,-113.47292376234464
7718,Oil(heavy),0.0,-0.0,0.0
7718,WindOnshore,0.0,-895.2979376007869,-895.2979376007869
7718,WindOffshore,0.0,-0.0,0.0
7718,SolarPV,0.0,-35.410892952873795,-35.410892952873795
7718,RoR,0.0,-4.792118725,-4.792118725
7718,Geothermal,0.0,-0.0,0.0
7718,Hydro,0.0,0.0,0.0
7719,NaturalGas,748.446979063722,0.0,748.446979063722
7719,Biomass,0.0,-173.729718,-173.729718
